Iniciando testes de Rede...

Iniciando bateria: 4... 

Iniciando rodada de testes: 1 bateria: 4

Iniciando teste osu_allgather_ seg 11 set 2023 14:22:32 -03

# MPI Allgather Latency Test
# Size [B]        Latency [us]
262144                74163.95
524288               146362.67
1048576              287477.88
Iniciando teste osu_alltoall_ seg 11 set 2023 17:50:52 -03

# MPI All-to-All Latency Test
# Size [B]        Latency [us]
0                         7.33
1                      1546.73
2                      1521.06
4                      1503.02
8                      1536.22
16                     1529.13
32                     1523.89
64                     1524.10
128                    1584.01
256                    2291.19
512                    3505.36
1024                   3459.80
2048                   3257.51
4096                   3746.93
8192                   4515.87
16384                  6684.65
32768                 11305.65
65536                 24081.09
131072                42709.40
262144                78364.20
524288               150007.60
1048576              296536.75
Iniciando teste osu_alltoallv_ seg 11 set 2023 17:52:41 -03

# MPI Alltoallv Latency Test
# Size [B]        Latency [us]
0                        18.26
1                      1518.64
2                      1614.03
4                      1557.44
8                      1599.03
16                     1549.85
32                     1559.95
64                     1609.23
128                    1562.69
256                    2251.46
512                    3466.52
1024                   3538.90
2048                   3466.67
4096                   3991.51
8192                   5051.25
16384                  6733.84
32768                 11480.06
65536                 24184.98
131072                44509.61
262144                78050.85
524288               150712.05
1048576              310059.61
Iniciando teste osu_barrier_ seg 11 set 2023 17:54:34 -03

# MPI Barrier Latency Test
# Size [B]        Latency [us]
0                      1366.51
Iniciando teste osu_bcast_ seg 11 set 2023 17:54:36 -03

# MPI Broadcast Latency Test
# Size [B]        Latency [us]
0                         5.45
1                        92.32
2                        95.36
4                        93.58
8                        99.61
16                       97.79
32                      102.45
64                      107.71
128                     121.81
256                    2062.54
512                    2222.18
1024                   3637.61
2048                   2538.99
4096                   2594.52
8192                   3328.62
16384                  4893.58
32768                  7986.73
65536                 13426.40
131072                24868.07
262144                47184.67
524288                91939.02
1048576              181211.40
Iniciando teste osu_gather_ seg 11 set 2023 17:58:34 -03

# MPI Gather Latency Test
# Size [B]        Latency [us]
0                         6.04
1                      7184.12
2                      6670.38
4                      7228.41
8                      5950.12
16                     8122.27
32                     7855.09
64                     8404.31
128                    9144.61
256                    4945.25
512                    5919.67
1024                   6146.60
2048                   4569.96
4096                   6267.23
8192                   6804.42
16384                  5443.84
32768                  9380.98
65536                 17596.46
131072                34256.35
262144                66777.85
524288               132250.33
1048576              261743.93
Iniciando teste osu_multi_lat_ seg 11 set 2023 18:16:16 -03

# MPI Multi Latency Test
# Size [B]        Latency [us]
0                       489.86
1                       497.67
2                       494.16
4                       489.56
8                       498.28
16                      493.57
32                      498.18
64                      506.10
128                     522.20
256                     830.00
512                    1259.42
1024                   1570.74
2048                   1000.37
4096                   1063.90
8192                   1429.23
16384                  2263.14
32768                  3826.18
65536                  6606.35
131072                12378.46
262144                23569.30
524288                45825.51
1048576               90524.52
2097152              179461.31
4194304              357824.50
Iniciando teste osu_scatter_ seg 11 set 2023 18:44:50 -03

# MPI Scatter Latency Test
# Size [B]        Latency [us]
0                         5.60
1                        87.30
2                        86.69
4                        81.23
8                        85.89
16                       85.81
32                      101.58
64                      122.16
128                    1023.70
256                    2121.15
512                    2973.75
1024                   3012.37
2048                   2458.23
4096                   2966.47
8192                   4103.63
16384                  6426.82
32768                 10771.55
65536                 19201.35
131072                36164.59
262144                69907.83
524288               136626.86
1048576              270245.66
Rodada 4 bateria: 4 
Iniciando rodada de testes: 5 bateria: 4

Iniciando teste osu_allgather_ seg 11 set 2023 18:49:31 -03

# MPI Allgather Latency Test
# Size [B]        Latency [us]
0                         5.58
1                      1088.65
2                      1080.92
4                      1075.00
8                      1071.77
16                     1083.19
32                     1089.70
64                     1115.70
128                    1765.72
256                    2443.73
512                    3653.10
1024                   3937.57
2048                   3648.10
4096                   4285.08
8192                   5807.45
16384                  8345.67
32768                 12751.39
65536                 22026.51
131072                40075.68
262144                74402.41
524288               145505.24
1048576              288366.04
Iniciando teste osu_alltoall_ seg 11 set 2023 18:56:44 -03

# MPI All-to-All Latency Test
# Size [B]        Latency [us]
0                         7.31
1                      1565.95
2                      1546.15
4                      1536.45
8                      1542.92
16                     1522.73
32                     1578.95
64                     1598.23
128                    1536.39
256                    2507.18
512                    3267.07
1024                   3357.75
2048                   3151.47
4096                   3589.38
8192                   4410.81
16384                  6355.42
32768                 11099.66
65536                 24025.80
131072                42255.89
262144                77998.99
524288               150307.31
1048576              295914.41
Iniciando teste osu_alltoallv_ seg 11 set 2023 18:58:32 -03

# MPI Alltoallv Latency Test
# Size [B]        Latency [us]
0                        17.74
1                      1611.91
2                      1595.82
4                      1595.31
8                      1635.80
16                     1574.72
32                     1525.10
64                     1589.51
128                    1650.52
256                    2244.89
512                    3546.66
1024                   3482.44
2048                   3351.47
4096                   3861.92
8192                   4677.84
16384                  6680.71
32768                 11317.74
65536                 22938.48
131072                40266.49
262144                78691.48
524288               152393.16
1048576              305205.94
Iniciando teste osu_barrier_ seg 11 set 2023 19:00:24 -03

# MPI Barrier Latency Test
# Size [B]        Latency [us]
0                      1431.01
Iniciando teste osu_bcast_ seg 11 set 2023 19:00:26 -03

# MPI Broadcast Latency Test
# Size [B]        Latency [us]
0                         5.56
1                        87.16
2                        81.41
4                        84.63
8                        80.89
16                       83.76
32                       87.12
64                       91.66
128                     101.52
256                    2103.13
512                    2233.98
1024                   3668.98
2048                   2537.38
4096                   2611.89
8192                   3328.43
16384                  4905.29
32768                  7989.45
65536                 13393.23
131072                24920.17
262144                47286.87
524288                91836.61
1048576              181113.27
Iniciando teste osu_gather_ seg 11 set 2023 19:04:22 -03

# MPI Gather Latency Test
# Size [B]        Latency [us]
0                         6.06
1                      7218.51
2                      6688.63
4                      7221.64
8                      5965.97
16                     7550.53
32                     8400.99
64                     7889.94
128                    9556.32
256                    5800.20
512                    6556.64
1024                   5918.31
2048                   5944.34
4096                   5550.71
8192                   7541.70
16384                  5474.71
32768                  9332.98
65536                 17511.62
131072                34234.87
262144                66593.44
524288               132231.57
1048576              261107.61
Iniciando teste osu_multi_lat_ seg 11 set 2023 19:22:32 -03

# MPI Multi Latency Test
# Size [B]        Latency [us]
0                       488.43
1                       486.44
2                       487.55
4                       493.99
8                       504.64
16                      521.06
32                      525.00
64                      529.14
128                     539.84
256                     831.75
512                    1249.62
1024                   1601.75
2048                   1016.01
4096                   1071.83
8192                   1628.46
16384                  2347.39
32768                  3830.45
65536                  6607.79
131072                12280.85
262144                23578.24
524288                46045.43
1048576               90719.58
2097152              179832.92
4194304              358603.01
Iniciando teste osu_scatter_ seg 11 set 2023 19:51:23 -03

