Iniciando testes de Rede...

Iniciando bateria: 20... 

Iniciando rodada de testes: 1 bateria: 20

Iniciando teste osu_allgather_ seg 04 set 2023 16:06:12 -03

# MPI Allgather Latency Test
# Size [B]        Latency [us]
# MPI Alltoallv Latency Test
# Size [B]        Latency [us]
0                        27.16
1                     11820.30
2                     11698.94
4                     12428.52
8                     11709.07
16                    11793.78
32                    12582.00
64                    12080.25
128                   12068.17
256                   18245.66
512                   21009.86
1024                  31516.56
2048                  32521.62
4096                  38646.85
8192                  83464.92
16384                156676.07
32768                262171.75
65536                413039.75
131072               715947.05
262144              1385607.31
524288              2751596.43
1048576             6063085.21
Iniciando teste osu_barrier_ ter 05 set 2023 08:30:20 -03

# MPI Barrier Latency Test
# Size [B]        Latency [us]
0                      3571.06
Iniciando teste osu_bcast_ ter 05 set 2023 08:30:23 -03

# MPI Broadcast Latency Test
# Size [B]        Latency [us]
0                         5.55
1                       235.10
2                       209.33
4                       204.91
8                       213.10
16                      206.77
32                      214.04
64                      224.32
128                     219.29
256                    3569.38
512                    3749.29
1024                   5893.50
2048                   4071.34
4096                   4334.94
8192                   5381.51
16384                 37613.74
32768                 47237.98
65536                 53299.91
131072                68283.01
262144               113132.41
524288               191140.23
1048576              351623.89
Iniciando teste osu_gather_ ter 05 set 2023 08:37:23 -03

# MPI Gather Latency Test
# Size [B]        Latency [us]
0                         5.93
1                     26068.23
2                     25390.88
4                     26158.78
8                     28334.66
16                    28627.56
32                    28067.74
64                    31844.56
128                   26050.68
256                   24514.57
512                   25326.21
1024                  23566.00
2048                  33012.52
4096                  41110.25
8192                  47088.16
16384                 20754.58
32768                 23950.00
65536                 24904.42
131072                63632.72
262144               123618.64
524288               326584.51
1048576              702337.68
Iniciando teste osu_multi_lat_ ter 05 set 2023 09:56:20 -03

# MPI Multi Latency Test
# Size [B]        Latency [us]
0                       627.18
1                       625.97
2                       627.16
4                       624.35
8                       625.66
16                      622.41
32                      626.03
64                      633.45
128                     653.59
256                    1020.45
512                    1377.45
1024                   1704.38
2048                   1201.73
4096                   1318.30
8192                   1752.47
16384                  3536.38
32768                  5301.16
65536                  9184.79
131072                25172.14
262144                51678.32
524288                89204.98
1048576              157332.12
2097152              304834.10
4194304              629057.94
Iniciando teste osu_scatter_ ter 05 set 2023 10:57:43 -03

# MPI Scatter Latency Test
# Size [B]        Latency [us]
0                         5.61
1                       334.56
2                       336.41
4                       342.79
8                       351.63
16                      366.77
32                      379.46
64                     1330.72
128                    2473.78
256                    4404.94
512                    4679.73
1024                   5108.43
2048                   5752.90
4096                   8967.49
8192                  14128.97
16384                 24633.17
32768                 51482.24
65536                 97330.77
131072               196035.65
262144               383900.83
524288               771351.59
1048576             1545258.68
Rodada 4 bateria: 20 
Iniciando rodada de testes: 5 bateria: 20

Iniciando teste osu_allgather_ ter 05 set 2023 11:12:35 -03

# MPI Allgather Latency Test
# Size [B]        Latency [us]
0                         5.67
1                      3679.29
2                      3616.19
4                      3590.67
8                      3710.66
16                     3592.83
32                     4316.79
64                     5586.23
128                    7290.91
256                    9290.28
512                   10750.37
1024                  12590.64
2048                  16221.57
4096                  51687.55
8192                  71980.20
16384                130456.05
32768                200230.83
65536                340833.25
131072               709031.69
262144              1370134.35
524288              2675188.42
1048576             5352598.30
Iniciando teste osu_alltoall_ ter 05 set 2023 12:10:34 -03

# MPI All-to-All Latency Test
# Size [B]        Latency [us]
0                         7.71
1                      4892.96
2                      4700.39
4                      4659.36
8                      4628.63
16                     4992.75
32                     7756.38
64                     9224.97
128                   11530.43
256                   12809.02
512                   19566.63
1024                  28654.85
2048                  31349.34
4096                  36479.05
8192                  83143.46
16384                152762.30
32768                256822.41
65536                399667.44
131072               826115.29
262144              1822676.77
524288              3847890.33
1048576             7901981.31
Iniciando teste osu_alltoallv_ ter 05 set 2023 12:43:51 -03

# MPI Alltoallv Latency Test
# Size [B]        Latency [us]
0                        26.90
1                     11971.08
2                     12228.41
4                     11954.71
8                     11816.41
16                    12246.24
32                    11804.52
64                    12086.35
128                   12773.51
256                   18135.71
512                   20339.63
